Description,Is_Response
"My wife and I regularly travel Christmas to New Years and decided on Boston this year. When we chose XV Beacon, we had no prior knowledge of the hotel other than looking at its website and review on Tripadvisor and booking.com. We arrived Christmas Eve, the night before the blizzard and you would think that anyone working Christmas Eve would want to do anything but be at work, let alone during a blizzard. This couldn't be further from the truth at XV Beacon. The staff was amazingly attentive, friendly and helpful without being overbearing. During the night of the blizzard, the only restaurant open was the hotel's (Mooo) which happens to be an amazing steak place in its own right. The hotel's room service is also served by Mooo, so we decided to have a great steak in our room, snow and wind blowing outside in front of the fireplace in our room...what could be better. From the bell staff, front desk, concierge and cleaning staff...you simply don't find service like this in most hotels, let alone more expensive ones. We highly recommend XV Beacon to anyone wanting a great place in the heart of Boston.",happy
"I'm a big fan of the personal service I've experienced at all the Omnis I've stayed at, and the Shoreham more than lived up to my high expectations. We were travelling with our kids and my sister-in-law, who kindly agreed to bunk in with them. I asked the loyalty ambassador, Katie, for connecting rooms and we were given fabulous, huge corner connecting rooms (even though it was Memorial Day weekend, and the hotel seemed very full, and we had booked in on the Omni's discounted rate for that weekend). The kids love the Select Guest """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""morning drinks"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" that the Omni offers, too. The Omni is a bit out of town; the first day we drove in, the second we took the Metro, which seems a better bet to me.",happy
"I recently stayed at this Kimpton property while on business in DC. From the time I walked in I knew it was going to be an amazing experience and stay. The staff are all very courteous and outgoing. They will do anything to make your stay the best ever. Customer service is vitally important in my decision for repeat stays and the staff at Palomar won me over. The lobby is very clean and welcoming with its hip decor and music. There is a great manager's wine reception every evening that is a superb networking time and social frenzy. I had a HUGE room overlooking the street. The rooms are decorated with a nice minimalist touch. The bed and linens like most Kimpton properties are soft and a perfect end to a busy day. You couldn't ask for a cooler location. The hotel is right in the heart of Dupont Circle with lots of fun pubs and diverse cuisine close by. It is very convenient to the metro and just a few stops from the monuments. Overall, I had an amazing stay and plan to make Palomar one of my top hotel choices as I am frequently in DC.",happy
"My wife and I just returned from NY and while in Manhattan we staryed at the Crowne Plaza. This is a great hotel. Friendly staff, perfect location (Times Square), very clean. Our first two nights we stayed at the Fairmont """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Plaza Hotel"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", however at half the cost and double the advantages the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Crowne Plaza"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" was the best choice. When we return to NY we will be staying at the Crowne Plaza. You will not be disapointed.",happy
"My boyfriend and I recently stayed at the Donatello and we can't say enough nice things about it. It was our first time to San Francisco and we booked the resort through Shell Vacations Club. (We are members.) The hotel is centrally located within walking distance of Union Square and Chinatown and within a -- minute driving distance of Lombard Street, the Wharf and the Golden Gate Bridge. The room and the hotel were lovely. The room was tastefully decorated with nice colors and a number of windows, a large bed and a pullout couch. There was also a mini-kitchen in the room, with a microwave, small refridge, a sink, plates, cups and utinsels. The hotel staff was exceptional, - the valet, the concierge, the front desk employees, the cleaning crew, EVERYONE - were extremely nice and very helpful. I would recommend this hotel-resort to my family and friends. It was a wonderful experience.",happy
"Just returned from a - day business trip and stayed at the Westin Riverwalk. First of all San Antonio is just magical at this time of the year. the city goes all out with the holidays lights, christmas carolers on the barges, serenading at those eating outside along the way. I really enjoyed my stay this trip. 
The hotel is one of the nicer Westins! Rooms were clean, spacious, modern. Hotel was perfectly situated on the Riverwalk. The Restaurant Zocco has really great food, super service and a fantastic bartender, Jo-Jo - who always made me feel comfortable as the solo female business traveler. (He makes a mean Brandy Alexander by the way). The staff was extremely helpful and courteous. The Westin Work out had about - treadmills, two elliptical cross trainers, one stationary bike, several weight machines and a small areas for stretching and dumbells. Not bad. The pool was small, but seemed to be nice. 
All in all, i would most certainly stay at this hotel again - hands down.",happy
"We spent - nights here and this was our second stay in the past two years. As a tourist we find the location to be super and the main reason we chose the Mayflower. We took light rail from the airport to the end (Westlake Center) and walked to the hotel lobby from a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Hotel Entrance"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" hall in the Center. Couldn't be more convenient. It would be better if every day they didn't have the entrance blocked off in the hotel due to special functions.
The rooms have everything one could want except for a small refrigerator. We take a Queen (only size beds here) Deluxe and highly recommend room ---- - it has pocket doors separating the bedroom from the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""living room"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".
We really like the restaurant and the cocktail lounge and ate breakfast and dinner in one or the other. The locals fill them up so it must be popular.",happy
"This hotel looks good from the website and the lobby is clean but thats where it stops. the rest of the hotel is dirty, everywhere you walk its sticky and nasty.metal stairs are rusted thru - in our room there was black mold on the walls and in the bathroom ( which is not spacious as in the website info). Lukewarm water for the shower in the morning was the norm. The toilet had not been cleaned and the hotel had no security that walked the hotel.
The hotel maintenance man was very good and replaced the whole ac unit for us.
William Patterson",not happy
"Although we arived at the hotel at -:-- AM, we were able to check in for both our rooms. The front desk staff was extremely accomodating. The rooms were clean, well appointed and large for a city hotel. The beds were very comfortable. The rooms were quiet. The hotel was in easy walking distance of the cable cars, BART, trollies and a variety of restaurants. The concierge was able to make good recommendations for locations for dinner. He also provided good driving directions when we were ready to head to Sonoma. We were able to get a great pay-in-advance room rate, so the hotel was an excellent value.",happy
"Seedy, run down. In need if a serious redo. Staff good, shuttle service fine.",not happy
"This was an unbelievably horrible experience. I checked in at --:-- pm after a long day of work. I am a silver elite member and was told that my room was upgraded. I walked into a hotel room with a gorgeous view. I went to the bathroom to find that there was water all over the floor, probably a leaky toilet. I called the front desk and told them that I would prefer another room, and was told that they are completely sold out. I don't believe that was true. I waited -- min for housekeeping to show up. No one showed up and then finally when I called again, the manager showed up. He was very nice and did make an arrangement to switch my room within - min. So there were extra rooms but the front desk was rude and inconsiderate the first time I called. I paid over $--- for this hotel room only to be bothered with poor service and inconsideration. This hotel is very large and therefore suffers with poor customer service. I expect more after paying such a high price to stay one night. They should train their front desk to determine how to deal with water on the bathroom floor. The customer should not be told that they don't have an alternative room available at that point. Especially when it's so late at night and I wanted to do was go to sleep.",not happy
"Excellant hotel in every aspect, size of room, spotless clean, modern, everything worked! Anna on reception was a star other girls nice but not as chatty
Try the Ninja restaurant on hudson street you wont be disappointed and try the chicken wings from Mudville - again just around corner. Close to subway and loads of bars we liked Ward --- great personal service from the guys.
If you go to NY a personal tour from REAL NEW YORK TOURS is a must",happy
"The hotel building is older but care has been taken to update the lobby in a more interesting style. The furniture in the rooms is still old but the mattresses and linens are new and comfortable and the room was very clean. I was given a room with a nice view of the Capitol. My biggest complaint and one that would keep me from staying there again is that there is nothing of interest near the hotel. It's not far from Capitol Hill at all and you can walk there in -- minutes but the highway does a great job in cutting the whole neighborhood off from the rest of the city. There are no restaurants or convenience stores nearby except a McDonald's. The Navy Yard Metro was about a -- minute walk away but I would not feel comfortable walking there after dark. If I came back to DC, I would find another hotel that's more central but if you're ok taking cabs (I'm not) then this hotel is fine.",not happy
"Stayed here for one night in a sad looking room, with no view. The place was clean but could use a major over haul. Having a meal in the atrium is like eating in an airport. The pool is good however as is the fitness center. The staff were friendly. The location is withing walking distance of the main attractions, but it feels to be a little bit cut off from the energy of a city center hotel. There is a good grocery story in the lobby which serves great sandwitches",not happy
"Friendly Helpful Staff, Great Service, Clean, Comfortable Rooms, Great Bar-Restaurant, Good Location, Only bad thing was valet parking at $---night, but plenty of inexpensive parking nearby. If I go to San Diego again I would not consider anywhere else.",happy
"Wasn’t sure how the rooms would be after reading previous reviews on here, but I was pleasantly surprised. They are modern, but not super-sleek modern. Nicely decorated, comfortable bed, etc. Some rooms have partial views of Lake Michigan.
The gym isn’t really a gym. It’s just a guest room that has been converted to an exercise space by putting gym equipment in it. Very limited weight equipment in here, but a decent selection of cardio equipment.
Perhaps the best thing about the hotel is its location. You are just blocks from the water, so during warm weather months it is easy to get the beach or along the water to exercise. Also near the hotel are the restaurants and bars of the Gold Coast. They aren’t the world’s best restaurants, but there are several restaurants full of locals for drinks and dinner, so that’s nice. In nice weather the streets around here will be packed.
You are just a few blocks from Michigan Ave, a reasonable walk from the river in decent, and not too far (though a bit of a walk) from multiple El stops.",happy
"This was by far the worst hotel I have ever stayed in. The only thing good about the hotel was the price. I guess the saying that you get what you pay for holds very true for this property. The disaster started as soon as we got to our room. We were given one of the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""renovated"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" rooms, which was actually a pretty huge room with two queen beds, a chest of drawers and a TV. That was all the furniture we got. The rest of the room was obviously empty. No ice chests, no coffee, no coffee maker, no fridge, no chair or couch. Absolutely nothing. The room was horribly hot and we turned the A-C on. We very quickly discovered the air conditioner wasn't working. It took calling the front desk three times and their solution was to send a fan over. Thanks to one of the service guys who insisted that the room was too hot, we were moved to a new room. The new room was also a disaster. The air conditioner worked but the furniture was old and smelly. We were woken at - in the morning by another guest who had also been assigned our room by the front desk staff. Then we were worken again at - and - in the morning by drunk guests returning to their rooms. Breakfast was awful. Cereal and a muffin. The breakfast area smelled like urine and there was mold growing in the courtyard. They claim their pool is heated.....NOT SO. The fitness room had only ONE equipment, an elliptical. Their high speed internet was broken and wasn't scheduled to be repaired for -- hours. The whole thing was a disaster. We were scheduled to stay for - nights and we had to change hotels after one night. HORRIBLE. Not worth the money you save and there are a lot of inexpensive hotels in San Diego with better quality and service.",not happy
"Don't make the mistake and stay here unless you want awful indifferent service and outrageous charges. It starts with an additional $-- """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""resort fee"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" for wi-fi service and no coffee in the room or any other place in the morning except by going into the restaurant.
I had requested a quiet room. The room in the main building was over the bar which rocked til mignight and there was an outdoor party behind my room with a loud band and firecrackers til --:-- pm. When I called the front desk they told me that I could come down and get some ear plugs. Apparently that is what they do as the clerk acted like they have to give them out all the time. The termiinal at the airport would have been a quieter and better place to sleep.
 No one in management called to apologize or provide another solution. Don't bother going here and try the Westin or Palms instead. This place is old and over rated. You will regret it.
The room cost $--- and the place does not care about their """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""guests.""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",not happy
"This was a last minute trip and the Hard Rock was picked a bit on the warily side as the best option available with the package.
We shouldn't have worried, the hotel is nice renovation, with one of the best locations in the City Center, just off the Chicago River and across the bridge to the Miracle Mile.
Check in was a piece of cake, involving a friendly upsell to a corner room with a great view. Knowing we'd be in the room so little, we opted to stay with what we had. So instead of the corner room with a view on one side, we got a gorgeous corner room with a river view! Thank you Front Desk, despite Gene Simmons licking down at you, you gave us a wonderful space for the weekend
Service was good across the board, but sometimes lacking in the conceirge department. There always seemed to be someone there when you didnt need them, but when you had a question, empty desks.
The China BAr and the Lobby Bar are both pretty much useless and expensive. Go wander elsewhere for a drink.
That said, all in all, I'd gladly come back. The room was nice and spacious, and the location made for easy access to hop elsewere on any EL line. It was a really nice stay in Chicago!",happy
"To be - blocks south of Central Park and a skip away from Times Square and -th avenue, there is nothing better for the price at this attractive and well located hotel. The suites are huge with two bathrooms, a dining and sitting area and a spacious bedroom. We went as a family of - and had more than enough room for our kids who slept on a pull out couch.
This hotel was worth the price as other compatibles would have cost several hundred of dollars more.
My only regret is that the king bed in the master suite sagged in the middle so it was not so comfortable. The bed is well dressed but the mattress needs changing. Conversely, the pull out sofa was much better than most that you find inon hotels. If the mattress had been new then it would have been a grand slam.",happy
"we accompanied our daughter who was on business & turned it into a - day holiday. The hotel was lovely - room small but clean, modern & very central - one min to Times Sq. Loved it & would definitely stay there again. The whole experience was everything and more.",happy
"Entire stay felt like I was at a high-end recreational resort. The accommodations were spacious and gracious and our suite was immaculate. Beds-sheets, bathrooms, kitchen area were exceptionally clean and well appointed.
We dined at the restaurant during our entire stay and each time the food was excellent and beautifully prepared.
The hotel staff was very responsive and hospitable and took extra effort to ensure that all of our needs were met.
The grounds are well kept, and the pool, diving pool and spa are well maintained and supervised.
Did not expect an airport hotel to have that """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""resort feel"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" -- all in all our stay was outstanding in every way.",happy
"The staff is very attentive. Room service food was OK. Room is very dated. Hotel is quiet, but furnitre looks soiled. Must be other options.",not happy
"I just returned from a stay at this hotel and we enjoyed our time there. We were in the East Tower on the --th Floor with a city view. We have stayed at this hotel before and always try to request a city view room and view of the airport. This may sound strange to some people, but we actually consider it a plus that the hotel is right across the street from the airport, as we enjoy watching the planes land and take off and noise does not bother us. 
The lobby is nice, with a nautical motif and large fish tank. The one thing I found """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""funny"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" is that our room decor did not seem to complement the nautical theme of the lobby. I almost felt like I was in two different hotels going from the lobby to the guest floors. The room was what I would call fairly generous in size (at least compared to some other cities).
Since the hotel was nowhere near capacity during our stay (in fact is was empty the first --- nights), the casual cafe-coffee shop was not open for breakfast. Only the main dining room was open. When a conference group came in during our -th day there, they opened all the restaurants. We really did not utilize the dining options.
For the first --- nights we were there, the main pool was closed for repairs, but the smaller pool was open until --pm. The healthclub also closes at -pm.
The hotel offers both valet and self parking. 
I would definitely plan to stay at this hotel again.",happy
"I arrived late and had to leave the next morning, but I found the Moorpark to be an excellent location for business in Silicon Valley - right off I---- - comfortable, clean and efficient. The breakfast buffet was reasonably priced and delicious. I will be back.",happy
"Got a great rate via the hotel website. Stayed here for - nights while visiting Seaworld. The hotel is winding up remodeling. The rooms were very spacious and clean. They smelled brand new! Plenty of room for our family of -, with the living room and separate bedroom. We had a corner room and these are a bit bigger than other rooms. My parents were next door and were not in a corner room, so their room was a bit smaller yet still big. Our kids really enjoyed th Koi pond. One of the hotel staff gave them some food for the fish. That was very relaxing after a long day on the road. The breakfast was yummy. The lines were long, but the food was well worth it. All of the hot foods likes eggs, bacon, sausuage, french toast, pancakes, etc. were cooked to order. Check in was a breeze. We will definately stay here again when traveling to San Diego. This is one of the nicest hotels that we've stayed at.",happy
"I stayed at the Hampton Inn for a week over christmas ---- with my daughter. I found the staff to be very pleasant, the room was a little small but we got if for a good price and it was always nice and clean. 
It was handy to both uptown and downtown Manhattan and there were a nice collection of shops, bars and restaurants. We walked to the ferry area and even across Brooklyn bridge from the hotel. (not a short walk though)
It has an all you can eat breakfast (included in our booking) but you have to get in a bit early to get a seat as it gets a bit crowded.",happy
"The luxury pillow top beds, Egeyptian cotton sheets, soaking tubs, marble sink-vanity, separate shower, upscale bath products, challenging golf course and wonderful golf course view, superb spa and spa products all put the Ballantyne in the upper echelon of resort hotels. No complaints whatsoever with the room or its amenities!
Turn-down service did just that..turned down the bed, but didn't pick up or replace a single wet towel.
Dinner, however, was an entirely different story! The main restaurant, Traditions, seemed understaffed
...there were - waiters, and two tables seated, but both tables waited laboriously for service. We were seated by the security guard, who directed us to the restuarant when signage was inadequate, when she realized there was no one else to seat us! Service was slow, with waiters in this restaurant going to other areas to relieve workers for 'smoke' breaks, etc. The food, when served, was very over cooked and dry...Halibut and grouper done to a crisp (and not in a good way!)
While I would not hesitate to stay at the hotel again, I would make dinner reservations elsewhere.",happy
"what a great hotel in a great location
we really enjoyed our stay here
we found a lovely new fun irish bar full of irish staff a few blocks away at
sacramento and sansome THE IRISH TIMES highly recomended,
great food plus all the sports nfl collage ball you could possibly watch and open - days a week to boot.
dont forget to check out chinatown while in the neighbourhood",happy
"We stayed at the W for a long weekend and were thrilled with the hotel and the location. It was five or ten minutes from everything we wanted to see or do (Paramount tour, Grauman's Chinese Theatre, Sunset Ranch). The rooms could use more seating but are beautiful with comfortable beds. The public spaces are """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""red carpet"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" worthy yet welcoming. The night scene is HOPPING.",happy
"Stayed two nights at this wonderful hotel located on historic Houston Street. From the moment we were met by the valets until we drove off two days later, we couldn't have asked for a better visit. Mario took care of our bags and assured our bicycles were kept locked up for us. He showed us around the hotel prior to going to our room. And made sure we knew where everything was while unloading our bags. We were helped by the front desk with dinner reservations and they promptly called our room to confirm them. 
As some have mentioned, the hotel is on the darker side of the lighting scale. But I fully expect that in a funky and hip hotel. I had no complaints at all during our stay. The staff greeted us constantly and were all helpful if we needed them. 
Upon leaving, Mario even helped get some ice for our cooler as we were driving -+ hours that day. Would definitely recommend this hotel to anyone!",happy
"Very good hotel in the centre of new York. Brilliant value for money, staff are always friendly and happy to answer any questions. The hotel was very clean, fresh towels and bedding every day! We will be going back to the new yorker soon!",happy
"i'm expecting a good stay at Sheraton. but so far i'm not impressed.
-. When checking in, i was let go with a key and a room number, only to find the key didn't work after a long walk to my room; there happened to be some housekeeping ladies down the hall, i said 'excuse me' and tried to get help from them. but they turned away. not sure if i didn't speak loud enough or they just didn't care; so i returned to the reception (again, a long walk), it turned out i wasn't checked in at all in the first place. what a shame! I was given a drink coupon, which helped a bit;
-. I checked the emergency evacuation plan on the back of the door. The floor map, the core of the plan, was barely readable! It was just too small!
-. The internet is a pain. I bought time for the internet ($-- per day for high-speed internet). i used it on my laptop. Then when i tried to use it on my iPhone, the system gave some message which i had no idea what to do. I was lost and had to call the helpline to get the problem solved. Come on, it's just an internet! Even a cheap motel can do it better than here.
OK. I'll explore more and keep updating... Hope at last I'll have a memorable stay.",not happy
"We will never stay at a Wyndham (or use Hotwire) ever again. Awful experience. When the fire alarm goes off a half dozen times throughout the night (because of the hotel humidifier....in FL?), the purpose of renting a hotel is moot. The hotel looks like it hasn't been updated since the ----'s and there was an all around dingy feeling. The staff were nice enough and the beds comfortable (not that we got to utilize their purpose)...just a bad visit that has turned us off to the two brands.",not happy
"We were greeted immediately & received our room info-keys in just minutes. The staff was friendly-helpful at all times. I noticed most of the staff had smiles on their faces even when speaking w-each other. I attended & stayed here as attendee of Parents of Murdered Children Conference & the meals were great. A couple of meeting rooms had a small problem w-room temp & audio but overall met our needs. Sure a LOT of walking around but glad meeting rooms were close together. Disappointed that our auction, book store & comfort rooms were on different rfloors than the rest of the conference making it difficult for me to go to them between workshops. Check-out was even quicker than check-in & was accurate! Definitely would recommend a stay here.",happy
"We just checked in to the hotel. As you've read already, the location is perfect: near union square, cable cars, convention center... The room and bathroom are very clean. Yet for the money we paid, we hoped to find a bathtub in the bathroom and some curtains instead of shutters in the bedroom. So you know, we combined a business trip with some extra days for exploring the city. Overall we had a good first impression of the hotel though.",not happy
"Another awesome visit and stay at Parc --
Staff friendly and very helpful
Excellent location... Hated to leave!!
-------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------",happy
a very good location ang a good standard room. the staff could be more polite.but apart from that an exellent first visit to new york and would stay here again even if it is just for the location. and the air con was a life saver one day it was -- degrees with ---% humidity but the room was it was more like --. the bed was the best i ever slept in and the plasma tv says at all.,not happy
"Just returned from a --day family vacation to Chicago, and we were impressed with the Doubletree Hotel. All the staff were friendly and helpful throughout our stay. Concierge helped us navigate our way on bus routes, and helped my husband figure out a problem with his Stubhub tickets for the Cubs game.
Getting around town from the Doubletree was easy, and we were Chicago newbies. The bus stop we used most often was - blocks away. We were close enough to walk the whole way to Navy Pier. We parked our van at InterPark, which is just across the street from Doubletree and significantly cheaper than the hotel lot. We could see our car from our hotel window. Very easy walk to Dominick's grocery store (bought our visitor bus passes there), ----, West Egg Cafe, Baskin Robins ice cream. Everything you need is nearby.
The room was clean, had - queen size beds, and bathroom was fine. Room had ironing board and hair dryer. We were advised at check-in to move the snack tray (with computer sensors on it) up high so our kids wouldn't fool with it, causing charges to the room. When my husband tried to move the tray up high, all the snacks fell off and we were worried we would be charged for everything! The front desk clerk was understanding, and said it was no problem. This must happen often...
The rooftop pool was nice, had plenty of chairs and towels, and was the perfect relaxation spot after our long days of sightseeing. Kids thought it was cool to swim on the rooftop surrounded by all the buildings of Chicago. An unexpected bonus: We could see the Wednesday night Navy Pier fireworks from the rooftop pool area. 
We did not want to pay $-- extra to have a refrigerator in the room, so we brought our own cooler with drinks, some kid snacks, and a gallon of milk. This way, we could eat a quick breakfast in the room (single-serve cereal bowls and some fruit) before heading out for our activities. Saved money and more convenient, and we just refilled the cooler with the hotel ice machine when needed.
This hotel was perfect for our needs, the location was great, staff were friendly, and the price was right. We did not have trouble with elevators. There are - elevators running at all times, and though we were on the --nd floor, we never felt like the elevators were slowing us down at all.
We loved our trip to Chicago, and the Doubletree Hotel was the perfect home base for all our activities.",happy
"We arrived late and tired after a long journey, and were welcomed like old friends, so were immediately revived. Staff unfailingly friendly and helpful. We were given an upgrade so had a kitchen attached to our room. The room was large and very comfortable, clean and well equipped - the free wifi worked well too. Best of all was the afternoon cheese and wine get-together where we made fascinating contacts with other guests. We were offered free wine and snacks for over an hour, with a waiter coming round to fill glasses. There was a jar for gratuities which we gave to generously because we were so impressed. Breakfast was included and this was a simple selection of pastries and fruit, with tea and coffee - really all you need to fortify you for a day exploring SF. Good position near Union Square. You CAN walk to Fishermans Wharf, but better to go on the cable car!",happy
"After reading the negative reviews, I was not expecting much in the way of comfort, cleanliness, personnel, etc., but I was so happy to find that it was a most enjoyable experience. The room was clean as was the rest of the property, the personnel very friendly and helpful, and the complimentary breakfast offered more choices than most. It was quiet and provided a very relaxing atmosphere. I sensed that if there had been a problem, it would have been adressed and resolved, so I don't quite trust anymore the one-sided review """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""conversation"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" forum.
Try it.",happy
Great location with nice sized rooms. I do a lot of business travel and this hotel was on the same level as W Hotel with the added bonus of great Rock-n-roll memorabilia. Wife and I had a great comfortable stay!,happy
"I have stayed here a few times in the past - years. It has only gotten better. This is a first rate hotel by any standard. The staff is perhaps, the best hotel staff you will find anywhere. Very professional, courteous, friendly and helpful. I love this hotel! 
This last stay, I had a slight problem, I misplaced a shoe bag in my hotel room. It was a very silly thing. It may have very well been my fault. I just couldn't find it and neither could housekeeping. Initially, they thought they might have thrown it away by mistake, they were quite apologetic. When I left, I called security at the hotel. The shoe bag, while having almost no commercial value was a very well made, old cloth felt bag passed down to me from my father. The security person treated this as if it was an heirloom diamond ring. After an exhaustive search of the room and """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""key records"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" to make sure it wasn't stolen, they found my shoe bag after they re-searched the room for the um-teenth time. This only happens at a hotel where the staff really take pride in their jobs. I travel a lot for business. By and large, I find it's not much fun. But This is one of my favorite all time hotels. You can relax here, and it's a perfect jumping off point to see and enjoy Boston. Whoever runs this place should give lessons on how to run a hotel right!",happy
"I stayed at the hotel with my husband , a -.- yr old and a -- month old infant. We stayed for - nights. We have been reading a lot of the reviews before booking, and decided to go with hampton inn because of price, and the location. We made sure to ask for a room facing the front - habor. At night we could hear the trains, but it wasn't to a point where the noise would wake me up. If you were still awake in bed, you could hear it, but it was like a backgound noise from a far. They provided ear plugs but i did not need to use them. My children did not wake up at night from the train, so which means it wasn't bad at all. I slept very well, as the bed sheets felt very clean. The washrooms were clean. Service was great. 
When we arrived, the hotel system was down, but the staff did not delay us from checking in. They still gave us our room. It also included breakfast..which was surprisingly good. I thought it was breakfast only with croissants, and bagels...but there were hot food i.e. eggs, sausages..and two machines where we could make our own hot waffles. It was awesome with variety of juices. 
To make our trip even better, the shuttle took us to the zoo, and to the horton Plaza at night. Service was so good, and they made our trip so much easier with the - kids. Overall, i really enjoyed staying and hampton and would definitely stay again the next time we visit.",happy
"The hotel had everything we needed for our first trip to the Dallas area. The hotel is centrally located, clean, a friendly staff, and good food. The rooms are good size with all the usually amenities. I would stay here again when I visit the area.",happy
"We stayed here for two nights this past weekend. The staff were great - very friendly at check-in and check-out and the bell hops took care of us on our trip back to the airport. We had planned to take a taxi but they noted that they had a car service we could use and it was a flat rate in a nice sedan. Much nicer than a taxi ride for the same price.
And the staff mentioned our anniversary at check-in and we found a gift waiting for us in the room. Nice touch!
Our room was clean and fairly spacious (king premiere is what I believe they called it). We had a king bed and a sitting area with a couch and chair. The floor to ceiling mirrors were an """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""interesting"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" touch. ;)
Our room faced a busy street and it was readily apparent that the walls were pretty thin. We faced a parking garage (with a Safeway - so grocery items are close) and every time the exit gate opened an alarm would go off. We heard that all throughout the night. And trash pick up one morning and normal motorcycle-car traffic sounds were pretty loud. But having stayed in big cities before - it's kind of normal. Still... that's the reason for an AVERAGE on the sleeping rate scale.
The location was nice - just a couple of blocks from the Wharf. And plenty of places to eat-drink in the area. If you come out the front door - cross the street and then go left and there's a great place to eat breakfast (Hollywood Diner or something very similar). Huge omelets!!!
The hotel is pricey (almost $----night for our stay thanks to a reduce Sunday rate) but that's pretty much the norm for Fisherman's Wharf. Would stay here again.",happy
"My husband and children were looking for a room to stay while we visited six flags fiesta Texas and since he stays at holiday inn for business we thought we'd give them a shot. First off they offer NO continental breakfast at the very least. Come on how hard is coffee juice and doughnuts? Instead you are offered a --% discount to their onsite restaurant. Secondly we were given the option of a late checkout and we took it only to find the wifi no longer worked the second day without an additional password that we had to call down for. Lastly, the room was stuffy! We lowered the ac to -- degrees in an effort to cool the room and it struggled all night. Save your money and head on down a bit further for a better hotel!",not happy
This property has been renovated. While not in the newest area of LA it was convenient to our location in Encino. The staff was friendlhy and helpful. Rooms clean and quiet. The common areas were not very enticing but the value was excellent and all I was looking for was a good room.,happy
Close to Space needle and EMP and duck rides parking lot was poor.,happy
"I stayed at this hotel for four nights during a business trip. The hotel was extremely noisy, and I was woken up every night (between -am--am) either by people shouting on the corridor, having a phone call right in front of my door, or having a loud conversation at the ice dispenser-soda vending machine which was located right next to my room (and was about as noisy as an A-C unit). The walls are too thin, so you can hear everything that's going on outside the rooms. The experience of my colleagues, who were staying on different floors, was similar. The rooms aren't bad but certainly not upscale. The elevators are old and take forever. The staff wasn't rude, but not overly friendly or helpful either. On the morning when I left I wanted to call the reception to tell them to call me a taxi, but nobody picked up. For $--- a night (excluding breakfast) I'd expect a little bit more than that, and I've stayed at significantly better hotels downtown for less. There's also a safe deposit box for which you're charged extra whether you use it or not. Also, stay away from the Tresoro restaurant; the service is good and friendly, but the food is below average (and certainly not authentic Italian).",not happy
we stayed at the penn it was okay you get what you pay for some of the reviews on here are a bit over the top.. central to manhattan on seventh ave no problems at all for us if you are going to the penn judge it for yourself...,not happy
US$-- for a room with - double beds. Internet access provided.,not happy
